Age Group,Gender,Location (Home City),Favorite IPL Team:,Which IPL team do you dislike the most?,How long have you supported this team?,"How emotionally invested are you in IPL? (Scale: 1 - Not at all, 5 - Very emotionally invested)",Who is your favorite player in IPL?,Who do you think is the most overrated player?,Which player’s performance affects your mood the most?,Would you continue supporting your team if your favorite player left?,How do you react when your team wins?,How do you react when your team loses?,Do you think umpires are biased against certain teams?,How often do you engage in social media discussions after matches?,Have you ever argued with someone online about IPL?,How do you usually watch IPL?,Have you ever attended an IPL match in a stadium?,Which team do you think will win IPL this year?,Which player do you think will win the Orange Cap (Most Runs)?,Which player do you think will win the Purple Cap (Most Wickets)?,How do you react when your team wins? [Score],How do you react when your team wins? [Sentiment],How do you react when your team loses? [Score],How do you react when your team loses? [Sentiment]
36+,Male,Gwalior,Delhi Capitals,Kolkata Knight Riders,<1 Year,5,Rohit Sharma,Abhishek Sharma,MS Dhoni,Maybe, Doesn’t matter, Neutral,Maybe,Always,Yes, TV,Yes,,Rohit Sharma,Jamie Overton,0.0258,Neutral,0.0,Neutral
19-25,Male,Ghaziabad,Mumbai Indians,Lucknow Super Giants,Since the beginning of IPL,4,Rohit Sharma,Rishabh Pant,Virat Kohli,Yes, Happy, Sad,No,Often,No, TV,Yes,Mumbai Indians,Rohit Sharma,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
19-25,Male,Agra,Royal Challengers Bengaluru,Lucknow Super Giants,Since the beginning of IPL,5,Virat Kohli,Shreyas Iyer,Virat Kohli,Yes, Happy, Sad,No,Never,No, TV,No,Royal Challengers Bengaluru,Virat Kholi,Bhuvneshwar Kumar,0.5719,Positive,-0.4767,Negative
26-35,Male,Howrah,Delhi Capitals,Lucknow Super Giants,3-5 Years,3,Travis Head,Abhishek Sharma,Virat Kohli,No, Excited, Neutral,Yes,Sometimes,No, TV,No,Royal Challengers Bengaluru,Shubhman Gill,Yuzvendra Chahal,0.34,Positive,0.0,Neutral
19-25,Male,Srinagar,Chennai Super Kings,Mumbai Indians,3-5 Years,4,MS Dhoni,Surya Kumar Yadav,Virat Kohli,Yes, Excited, Sad,No,Sometimes,Yes, Streaming Apps,No,Chennai Super Kings,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.4767,Negative
19-25,Male,Unknown,Mumbai Indians,Punjab Kings,Since the beginning of IPL,5,Rohit Sharma,,Jasprit Bumrah,Yes, Happy, Neutral,No,Often,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Trent Bolt,0.5719,Positive,0.0,Neutral
36+,Male,Patna,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,1,MS Dhoni,Abhishek Sharma,MS Dhoni,No, Happy, Neutral,Yes,Never,No, Don’t watch regularly,No,Rajasthan Royals,Virat Kholi,Mohammad Shami,0.5719,Positive,0.0,Neutral
26-35,Male,Bhopal,Chennai Super Kings,Lucknow Super Giants,Since the beginning of IPL,5,MS Dhoni,Abhishek Sharma,MS Dhoni,Yes, Excited, Sad,Maybe,Sometimes,No, TV,Yes,Chennai Super Kings,Shubhman Gill,Jasprit Bumrah,0.34,Positive,-0.4767,Negative
19-25,Male,Kanpur,Mumbai Indians,Punjab Kings,1-3 Years,5,Rohit Sharma,Rishabh Pant,Virat Kohli,No, Excited, Angry,Maybe,Never,No, TV,No,Rajasthan Royals,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.5106,Negative
19-25,Male,Amritsar,Mumbai Indians,Punjab Kings,1-3 Years,5,Rohit Sharma,Rishabh Pant,Virat Kohli,No, Excited, Angry,Maybe,Never,No, TV,No,Rajasthan Royals,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.5106,Negative
